"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","250.00"
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|FR","415.59","439.60","439.60","381.00"
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|FR","2367.80","2494.90","2406.69","1323.00"
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|FR","4716.28","4908.36","4801.07","3243.00"
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|FR","6219.55","6382.65","6341.62","4768.00"
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|FR","6663.66","6780.99","6756.85","5404.00"
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|FR","5929.04","6101.79","6074.54","5297.00"
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|FR","4052.22","4274.26","4276.83","4556.00"
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|FR","1653.84","1787.33","1788.08","3012.00"
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|FR","131.59","138.71","138.73","1211.00"
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","333.00"
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
